"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2026,"Abilene Christian",56.6666666666667,352,23.13788249812,3,31.3840155945419,209,52.258064516129,364
2026,"Air Force",54.9603174603175,312,16.1638113995619,235,32.4137931034483,264,35.4761904761905,191
2026,"Akron",50.2341920374707,124,18.8363262531297,79,32.4427480916031,265,32.0843091334895,97
2026,"Alabama",48.1715425531915,60,12.7395233194871,359,33.0882352941176,287,36.9015957446809,225
2026,"Alabama A&M",52.6315789473684,245,17.0720638078041,172,28.7250384024578,89,38.6278195488722,265
2026,"Alabama St.",54.0749796251019,286,19.6741875319788,47,34.8074179743224,329,40.9942950285249,309
2026,"Albany",53.6073825503356,275,16.1087339541908,240,33.3825701624815,298,34.5637583892617,162
2026,"Alcorn St.",57.6513911620295,358,17.9299103504482,123,36.9760479041916,355,40.0163666121113,288
2026,"American",52.9159519725557,254,19.2377464836268,63,30.9899569583931,185,43.8250428816467,331
2026,"Appalachian St.",46.3302752293578,18,14.3381353628703,328,28.9381563593932,98,32.7981651376147,110
2026,"Arizona",45.265841223598,11,18.0735519032351,112,25.4484304932735,11,27.8222869628551,31
2026,"Arizona St.",53.1775018261505,263,19.0900219565748,68,34.1740226986129,313,35.427319211103,189
2026,"Arkansas",50.8243727598566,161,16.3967769694125,217,31.1801242236025,196,29.247311827957,49
2026,"Arkansas Pine Bluff",53.2392026578073,266,15.9301262274487,251,35.2173913043478,333,47.4252491694352,356
2026,"Arkansas St.",51.8324607329843,209,15.1760169175271,293,27.0780856423174,40,37.8459237097981,252
2026,"Army",55.0702028081123,315,14.8782093482554,307,28.0653950953678,63,36.5834633385335,220
2026,"Auburn",51.9756838905775,216,17.4075626188711,149,31.9426336375489,241,34.3465045592705,153
2026,"Austin Peay",51.1558219178082,177,19.6033332743582,51,29.3201133144476,120,31.8493150684932,91
2026,"BYU",49.188790560472,87,16.7157918153,199,28.1061519903498,64,28.6135693215339,39
2026,"Ball St.",55.2367941712204,322,19.2752653217325,61,32.4013157894737,261,29.143897996357,45
2026,"Baylor",49.7713414634146,109,15.7146969671312,261,32.0102432778489,243,29.0396341463415,43
2026,"Bellarmine",59.4715447154472,365,15.2310784843306,289,34.7696879643388,328,32.8455284552846,112
2026,"Belmont",48.4719260838664,66,18.0728446288612,113,30.2690582959641,153,29.2110874200426,47
2026,"Bethune Cookman",50.9005481597494,165,16.1990356926499,230,32.0680628272251,247,38.9976507439311,274
2026,"Binghamton",54.7039740470397,304,13.0619198892576,354,29.1899441340782,111,32.8467153284672,113
2026,"Boise St.",52.150084317032,226,15.935437540608,250,23.5123367198839,4,35.4974704890388,192
2026,"Boston College",46.7282525019246,23,15.2118127129696,291,29.2270531400966,113,33.8722093918399,135
2026,"Boston University",55.4166666666667,328,13.5608765436143,348,27.7852348993289,54,32.7272727272727,107
2026,"Bowling Green",50.8574007220217,163,19.8629104484229,38,27.1513353115727,45,37.5451263537906,241
2026,"Bradley",52.7498063516654,247,19.9688374508725,31,28.5171102661597,81,37.0255615801704,226
2026,"Brown",49.5064165844028,93,18.2836620379345,100,29.6116504854369,130,35.2418558736426,182
2026,"Bryant",51.4003294892916,193,14.7061513416619,310,32.4512534818941,266,30.8072487644152,66
2026,"Bucknell",55.5970149253731,331,17.9089321568416,125,31.1284046692607,193,35.9701492537313,203
2026,"Buffalo",54.1632653061224,289,17.5874793896726,138,31.5561959654179,223,30.8571428571429,70
2026,"Butler",50.6036217303823,145,15.5137027646988,276,31.1915887850467,198,25.4191817572099,11
2026,"CSUN",52.4452554744526,237,15.8810127153374,255,25.57856272838,12,35.8394160583942,201
2026,"Cal Baptist",46.8773800456969,31,16.6767065089883,202,26.4058679706601,28,36.5575019040366,219
2026,"Cal Poly",55.4731638418079,330,16.4351456987533,215,30.3217821782178,156,34.4632768361582,158
2026,"Cal St. Bakersfield",52.8141865844256,250,18.2950069876763,98,36.5605095541401,350,44.1017733230532,334
2026,"Cal St. Fullerton",55.2338530066815,321,19.5606334773961,54,29.25877763329,116,35.3377876763177,186
2026,"California",47.8755690440061,48,15.8943877048373,253,30.9638554216867,181,34.7496206373293,169
2026,"Campbell",56.3679245283019,348,17.5374029922394,144,31.5866084425036,226,37.6572327044025,246
2026,"Canisius",53.601213040182,274,16.6289346685895,205,30.4798962386511,161,33.6618650492798,130
2026,"Central Arkansas",54.2006525285481,291,18.3500164441783,95,27.0833333333333,42,30.2610114192496,58
2026,"Central Connecticut",50.9607351712615,167,14.0550807217474,337,30.9899569583931,185,26.3157894736842,18
2026,"Central Michigan",54.5267489711934,299,15.9486868336656,248,34.0909090909091,311,40.9876543209877,307
2026,"Charleston",49.932157394844,113,14.4014401440144,326,31.4569536423841,218,26.5943012211669,20
2026,"Charleston Southern",46.8236173393124,27,12.8031593865949,358,29.1521486643438,108,44.5440956651719,340
2026,"Charlotte",51.2214983713355,183,14.6463941972381,313,31.8977119784657,237,40.4723127035831,294
2026,"Chattanooga",51.2863070539419,188,14.2631444231635,331,32.4621733149931,267,44.0663900414938,333
2026,"Chicago St.",57.6734693877551,359,19.6372838464783,48,36.9343065693431,354,37.8775510204082,253
2026,"Cincinnati",48.0564024390244,58,18.956904120019,73,25.830258302583,15,30.9451219512195,72
2026,"Clemson",46.0931333859511,14,17.4997551340233,145,25.703794369645,13,33.9384372533544,138
